code,product_name,brands,ingredients_text,allergens,allergens_tags,traces,traces_tags,countries
3017620425035,Nutella,Ferrero,"Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten","en:milk,en:nuts,en:soybeans","en:milk,en:nuts,en:soybeans",,,"Algeria,Belgium,Bulgaria,France,Germany,Guadeloupe,India,Italy,Luxembourg,Martinique,Morocco,Réunion,Spain,Switzerland,Tunisia,United Kingdom,United States"
3017620422003,Nutella,"Ferrero,Nutella","Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.","en:milk,en:nuts,en:soybeans","en:milk,en:nuts,en:soybeans",,,"France,Germany,India,Italy,Luxembourg,Morocco,Netherlands,Philippines,Poland,Romania,Spain,Switzerland,Turkey,United Kingdom,Belgium"
90162602,ENERGY DRINK,Red Bull,"Carbonated Water, Sugar, Glucose, Citric Acid, Taurine, Natural flavors, Artificial Flavors, Sodium Bicarbonate, Magnesium Carbonate, Artificial Colors, Caffeine, Niacinamide, Pyridoxine Hci, Calcium Pantothenate, Vitamin B12.",,,,,"Albanie,Australie,Bulgarie,Égypte,France,Inde,Irlande,Maroc,Tunisie,Royaume-Uni,États-Unis"
8902080000227,Sting Energy,Sting,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331), SEQUESTERANTS (452(1), 385),TAURINE, CAFFEINE (0.03%), PRESERVATIVES (211, 202), SWEETENERS (955, 950), INOSITOL, VITAMINS PREMIX. CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (129) AND ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",en:Acesulfame Potassium,en:acesulfame-potassium,,,India
5999884034469,HELL,Hell,"(BA) Bezalkohoho pazano piće se froidorid), Vitamin B2 (riboflavin) pide sa okusom om tuttifrutti, as kofeinom i sa dodanim vitaminima, Pasterizirano. Sastojci: vode, Seter, kiselina munaka tamin B3 (nikothamid), pantotenska kiselina vitamin B5 (kalcijum D-pantothenate), Vitamin B6 (pirido d opkald (min. 0,3%); taurin (0,38%); regulator kiselosti (natrijevi citrati); kofein (0,03%); aroma; Soja (amonijak karamela, vitamini min B12 (clanokobalamin) VISOKI SADRZAJ KOFEINA. Ne preporučuje se za djecu, djecu, vonio (kofein: 32 mg/100 ml). Jedna limenka sadrži približnu količinu kofeina kao jedna sojice espressente dan mjesec godina) pogledajte dno limenke. Cuvati na hladnom i suhom mjestu. jestu. Proizvod na kofein diabetičars Najbolje upotrijebis HELL ENERGY Magyarország Kf Madarska. Proizvedeno u Madarskoj. UVOZNIK TOISTRIBUTER ZABX SPAN Andrispy of 128, H-1062 Bug 798 49, 330,  (EB) Bebida no 4988 1000 Sarajevo, BA. Tel. +387 3 carbonatada, sabor tutti-frutti, con cafeína, con vitaminas añadidas, Pasteurizada.",en:soybeans,en:soybeans,,,"Bulgaria,Grecia,India,Marruecos,Rumania,España,Túnez"
54491496,diet coke 500ml,"Coca-Cola, Diet Coke, The Coca-Cola Company, Tiffin Sandwiches","csd water, caramel color, aspartame, phosphoric acid, potassium benzoate (to protect taste), natural flavors, citric acid, caffeine, contains phenylalaline 
water gazeifiée, caramel colour e150d, sweeteners : aspartame, acesulfame k, flavourings, natural caffeine, phosphoric acid, citric acid",,,,,"France, United Kingdom, en:india"
8901058000290,maggi,Nestlé,"NOODLES: Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412). Acidity regulators (501(i) & 500(i)) and Humectant (451(i)). MASALA TASTEMAKER®: Mixed spices (25.6%) (Onion powder, Coriander powder, Turmeric powder, Red chilli powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, lodized salt, Thickener (508), Flavour enhancer (635), Toasted onion flakes, Acidity regulator (330). Colour (150d), Mineral and Wheat gluten. Allergen Note: Contains Wheat & Nut. May contain Milk, Mustard, Oats And Soy.",en:gluten,en:gluten,"en:gluten,en:milk,en:mustard,en:soybeans","en:gluten,en:milk,en:mustard,en:soybeans",India
0074305001161,APPLE CIDER VINEGAR,BRAGG,"ORGANIC APPLE CIDER VINEGAR, WATER.",,,,,"France,India,United States,World"
8850389100684,Mogu litchi,Sappe Public Company Limited,"water, lychee juice from concentrate 25%, coconut 25%, fructose, sucrose, acidifiers (citric acid, calcium lactate), lychee flavor, preservative e211, gelling agent: gellan gum, color: e129 - 0.0001% (this dye may have adverse effects on activity and attention in children),",,,,,"Australia,France,India,Mexico,Morocco,New Zealand,Philippines,United States"
8901088000451,Parachnute 100% Pure Coconut Oil,Parachute,Coconut Oil,,,,,"France,India,Somalia"
